run_id,compute,batch_size,num_steps,final_step,final_train_loss,mean_mfu,final_tok_s,parameter_count,state
val-full-5k-bs32-bs32-seed42,A100:1,32,5000,2560,2.2349655628204346,12.399285082390302,79753.62268850936,28651520,finished
val-full-5k-bs32-2gpu-bs32-seed42,A100:2,32,5000,4999,1.9622746706008911,12.009568712105818,157204.7540131649,28651520,finished
val-full-5k-bs64-4gpu-bs64-seed42,A100:4,64,5000,4999,1.9754838943481443,11.961077747736958,312702.5164923392,28651520,finished
val-full-5k-bs128-8gpu-bs128-seed42,A100:8,128,5000,4999,2.021614789962769,11.855288965087333,623913.1299497174,28651520,finished
val-full-tpu-bs128-seed42,TPU v6e-4,128,1000,999,2.6202712059020996,10.253923309440088,792054.1694000913,28651520,finished
train-full-tpu8-bs256-seed42,TPU v6e-4,256,2000,1999,2.2136921882629395,8.376927399383188,1297446.440136092,28651520,finished
